ID,date_time,lat,lon,depth(km),magnitude,origin
18093051,2018-01-22T105826.29,42.917,12.8528,11.1,ML1.6,7 km W Sellano (PG)
18093101,2018-01-22T110238.42,42.683,13.3203,12.7,ML1.1,6 km E Accumoli (RI)
18093161,2018-01-22T111148.66,42.7842,13.2932,10.7,ML0.8,1 km NW Arquata del Tronto (AP)
18093231,2018-01-22T113813.56,44.1663,12.208,57.6,ML2.4,4 km NW Cesena (FC)
18093741,2018-01-22T114321.,37.724,14.93,0.5,ML1.8,10 km N Ragalna (CT)
18093351,2018-01-22T115017.52,38.9188,15.8562,54.8,ML1.9,"Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)"
18093781,2018-01-22T115320.,37.727,14.935,0.4,ML2.2,11 km N Ragalna (CT)
18093451,2018-01-22T115348.,37.726,14.941,0,ML2.6,11 km N Ragalna (CT)
18093521,2018-01-22T125603.69,42.818,13.0588,11.1,ML1.5,4 km NW Norcia (PG)
18093871,2018-01-22T134536.53,43.4382,13.0022,8.3,ML1.2,2 km SW Serra San Quirico (AN)
18093911,2018-01-22T135454.71,42.7658,13.1835,11,ML1.6,8 km E Norcia (PG)
18094031,2018-01-22T141913.94,42.9368,13.0258,12,ML0.9,5 km W Visso (MC)
18094221,2018-01-22T145518.5,42.9738,13.2292,9.4,ML1.5,2 km S Bolognola (MC)
18094811,2018-01-22T172028.69,42.9148,12.8535,11.4,ML1.3,7 km W Sellano (PG)
18094881,2018-01-22T172424.16,42.8148,13.0842,11.1,ML0.8,3 km NW Norcia (PG)
18094941,2018-01-22T174938.38,44.2812,10.1588,11.3,ML1.5,3 km SE Comano (MS)
18094961,2018-01-22T180649.81,42.8082,13.1632,11.8,ML1.1,6 km E Norcia (PG)
18095021,2018-01-22T180800.19,42.7073,13.2778,12.2,ML1.0,3 km E Accumoli (RI)
18095091,2018-01-22T181830.57,42.7502,13.1338,7.5,ML1.3,6 km SE Norcia (PG)
18095221,2018-01-22T185055.46,37.4742,13.4388,28,ML2.0,5 km S Cianciana (AG)
18095251,2018-01-22T190225.46,42.9267,13.0047,11.7,ML1.7,6 km NW Preci (PG)
18095311,2018-01-22T191312.46,42.7958,13.1213,10.1,ML1.4,2 km E Norcia (PG)
